Segment,Customers,AvgRecency,AvgFrequency,AvgMonetary,TotalRevenue,PctOfCustomers,PctOfRevenue
Champions,994,13.860160965794769,11.01609657947686,38714.649104627766,38482361.21,21.1,63.0
Loyal Customers,1148,35.69947735191638,3.7717770034843205,8861.043797909408,10172478.28,24.3,16.6
At Risk,688,157.06976744186048,3.3575581395348837,8469.85238372093,5827258.44,14.6,9.5
Needs Attention,669,124.93423019431988,1.2062780269058295,5907.20553064275,3951920.5,14.2,6.5
New Customers,342,19.339181286549707,1.2953216374269005,4587.938654970761,1569075.02,7.3,2.6
Lost,876,233.41552511415526,1.0810502283105023,1278.5011301369864,1119966.99,18.6,1.8
